rank,term,doc_freq,frequency,adj_frequency,methods,nonambiguous,informative,type,topic,role,notes,example
1417,west bengal premises tenancy act,2,5,5,"spacy,yake",1,informative,STATUTE-PROVISION,TENANCY-LEASE,RULE,,"West Bengal Premises Tenancy Act 1956-- Sec. 13(1)(f) --Whether one of the co-owners can file a suit for eviction without impleading other co-owners--Whether a coowner, an owner for the purpose of an eviction suit--Stage for raising objecti"
1418,arbitration proceeding,3,5,5,"spacy,textacy",1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"It was, therefore, stated that in the present case also, arbitration may be held in London or in Singapore, where arbitration proceedings were going on between the parties."
1419,profit margin,2,5,5,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,"After taking into consideration the several factors in detail the conclusions of the Tribunal are summed up as under : (a) ""the profit margin whether on sales or on total capital employed, or on the net worth does not appear to bear any set"
1420,land acquisition proceeding,1,5,5,"spacy,textacy",1,informative,PROCEDURE-RELIEF,LAND-ACQUISITION,PROCEDURAL,,"The land stood vested in the State; the land in dispute would stand submerged actually and, therefore, withdrawal of the acquisition proceedings was not permissible, though the land acquisition proceedings had not been completed and the act"
1421,pende trial,2,5,5,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"According to the Detaining Authority, the appellantdetenue, when he was 30 years old, started his career in criminal field by committing offences like murder, attempt to murder, dacoity, rioting, assault, damaging the public property, provo"
1422,early order,4,5,5,"spacy,textacy",1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"Hence, Adani Power is not entitled to raise the issue of force majeure and change in law as a substantive issue, the force majeure claim and the change in law claim having been rejected by the Central Commission in its earlier order; and th"
1423,landlord respondent,1,5,5,spacy,1,informative,PARTY-ACTOR,TENANCY-LEASE,ACTOR,,The High Court also directed respondent no. 4 to consider the applications for allotment after giving notice to the landlord-respondent no.
1424,impugned order,5,5,5,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"227 of the Constitution, quashed and set aside the order of the Industrial Court, Gujarat dated February 5, 1964 which had affirmed the order of the Second Labour Court, Ahmedabad dated August 9, 1963, and after setting aside that order had"
1425,subordinate court,4,5,5,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"Appeal from a judgment and decree of the High Court of Judicature at Patna dated 29th August, 1947, in First Appeal No. 13 of 1945, modifying a decree of the Subordinate Court of Gaya in O.S. No. 59 of 1943: Civil Appeal No. 82 of S.P. Sinh"
1426,respondent before the high,4,5,5,yake,1,informative,PARTY-ACTOR,,ACTOR,,
1427,public services act,1,5,5,spacy,1,informative,STATUTE-PROVISION,,RULE,,"The A.P. Regulation of Reservation and Appointment to Public Services Act, 1997, was enacted to ensure that the reservation mandated under Rule 22 is followed scrupulously."
1428,appellant no.1,2,5,5,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"Secondly, counsel has urged that assuming that appellant No.2's interest (as a Karta of his H.U.F.) in appellant No. 1's firm is exigible to the wealth-tax under the Act, the valuation of such interest being governed by sec. 7 (2) (a) of th"
1429,rent and mortgage interest,1,5,5,spacy,1,informative,MONETARY-VALUATION,TENANCY-LEASE,EVIDENCE,,"In Roe v. Russel, (1) the Court of appeal in England held that s. 4(1)(h) of the Rent and Mortgage Interest (Restrictions) Act, 1923 which provided that no order for ejectment of a tenant from a dwelling house shall be made unless ""(h) the "
1430,matruka property,1,5,5,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,"These paragraphs 17A, 17B, 17C and 17D of the plaint are extracted as follows:- “17A. According to para 7 of the written statement the defendant No.1 has asserted that the Matruka properties mentioned in the list enclosed with plaint at ser"
1431,document writer,2,5,5,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,"There is another category of drafting by lawmen or document writers who are professionally qualified and experienced in the field like drafting deeds, treaties, settlements in court, etc."
1432,public money,3,5,5,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"The Court, however, observed as under: ""When such projects are undertaken and hundreds of crores of public money is spent, any individual or organisations in the garb of PIL cannot be permitted to challenge the policy decision taken after a"
1433,rent and mesne profit,1,5,5,spacy,1,informative,MONETARY-VALUATION,TENANCY-LEASE,EVIDENCE,,"The respondent oppose the suit contending that the property was situated within three kilometres of the municipal limits of the town and was, therefore, governed by the provisions of the Act, denied that the rent was Rs. 360 per mensem and "
1434,indian evidence act,4,5,5,spacy,1,informative,STATUTE-PROVISION,,RULE,,"P.K. Goswami, Y.V. Chandrachud, A.C. Gupta SRIRAM PASRICHA Vs. JAGANNATH & DATE OF JUDGMENT24/08/1976 GOSWAMI, P.K. GOSWAMI, P.K. CHANDRACHUD, Y.V. GUPTA, A.C. CITATION: 1977 (1) 395 1976 (4) 184 R 1977 SC1599 (7) R 1978 SC 835 (2) F 1982 S"
1435,sole owner,3,5,5,"spacy,textacy",1,informative,PARTY-ACTOR,TITLE-OWNERSHIP,ACTOR,,And whereas the Settlor feels that he should now devote on dedicate a substantial part of his remaining assets for being utilised for the relief of the poor particularly in the State of Hyderabad and for the maintenance of religious institu
1436,hard and fast rule,4,5,5,spacy,1,informative,STATUTE-PROVISION,,RULE,,"Of course, no hard and fast rule can be laid down in regard to cases in which the High Court will exercise its extraordinary jurisdiction of quashing the proceedings at any stage."
1437,appropriate legislature,2,5,5,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"While levying fees the appropriate legislature is competent to take into account all relevant factors, the value of the subject matter of the ,dispute, the various steps necessary in the prosecution of a suit or matter, the entire cost of t"
1438,professional document,1,5,5,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,"In this regard, the Council, at its 172nd meeting held in January, 1995, while agreeing with the recommendation of the then Committee on Ethical Standards and Unjustified Removal of Auditors that the use of expression/words, “In Association"
1439,india cadre,1,5,5,spacy,1,informative,JURISDICTION-PLACE,,EVIDENCE,,There is no All-India Cadre of High Court Judges.
1440,public revenue,2,5,5,spacy,1,informative,PARTY-ACTOR,REVENUE-TENURE,ACTOR,,In under developed countries public enterprises fostered on public revenues are expected to play a more positive role in financing the countries' development than similar enterprises do in developed economies.
1441,individual unit,2,5,5,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"In the Special Leave Petition also in paragraph 2 the Appellant had challenged the jurisdiction of the Tribunal ""to go into the question of the capacity to pay of an individual unit in respect of one of the recommendations of the Wage Board"
1442,formal witness,2,5,5,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,"PW 12 is the formal witness who proved police case diary, inquest report and FIR."
1443,follow order,4,5,5,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"I would, therefore, pass the following order."
1444,legal duty,3,5,5,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,Respondent no. 4 was under a legal duty to issue notice to respondent no. 1 who had by that time acquired rights of landlord.
1445,resurgence india,1,5,5,spacy,1,informative,JURISDICTION-PLACE,,EVIDENCE,,"Thus, a candidate is bound to provide the necessary information at the time of filing nomination paper and for the said purpose, the Returning Officer can compel the candidate to furnish the relevant information and if a candidate, as has b"
1446,rare article,1,5,5,spacy,1,informative,STATUTE-PROVISION,CONSTITUTIONAL,RULE,,"In Order III Para 9, he further directed that the precious stones, jewellery and rare articles, which, in accordance with the principles laid down in Para 2 of the Farman are the property of the Paigah from olden times, or have been purchas"
1447,proprietor of the other land,1,5,5,yake,1,informative,PARTY-ACTOR,TITLE-OWNERSHIP,ACTOR,,
1448,record reason,1,5,5,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,"In Maya Devi (Dead) through LRs and Ankush Shivaji Gaikwad vs State Of Maharashtra on 3 May, 2013 v. Raj Kumari Batra (Dead) through LRs and , this Court held that disclosure of application of mind is best demonstrated by recording reasons "
1449,complete code,4,5,5,spacy,1,informative,STATUTE-PROVISION,,RULE,,"On behalf of the appellant, however, the contention was that s. 38 of the insurance Act provided a complete code for assignment and transfer of insurance policies and the assignment made in favour of the appellant by Mahajan Deolal was a Mi"
1450,fair price,2,5,5,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,There was no reason why the requisition of the premises occupied by the writ petitioner cooperative societies should not be continued while they served the public purpose of supplying foodgrains and the like at fair prices under the Public 
1451,village common land,2,5,5,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,Hari Singh PW1 and their relations including his son deceased Harjinder Singh were opposing such move as they wanted to illegally occupy that part of the village common land.
1452,retail sale,2,5,5,"spacy,textacy",1,informative,LEGAL-CONCEPT,SALE-CONTRACT,ISSUE,,"The Act was amended by the Second Amendment Act, 1954, and sub-s. (4) of s. 3 was omitted, and the proviso to the first sub-section was re-enacted, adding one more clause to the following effect the tax on all retail sales of motor spirit f"
1453,wealth tax act,2,5,5,spacy,1,informative,STATUTE-PROVISION,,RULE,,"SPECIAL CIRCLE C-WARD, KANPUR & DATE OF JUDGMENT15/12/1983 TULZAPURKAR, V.D. TULZAPURKAR, V.D. ERADI, V. BALAKRISHNA (J) MADON, D.P. CITATION: 1984 (2) 35 1984 (1) 571 1983 (2)953 ACT: Wealth Tax Act 1957."
1454,defendant no.156,1,5,5,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"The parties to the suit, the decree holders and the assignees of the decrees (Cyrus/Gold Stone/Trinity) claim title to the land of extent of about 98 acres in Survey No.172 of Hydernagar primarily on the basis: (i) that it was the Mathruka "
1455,present government,1,5,5,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"We have heard the learned Attorney-General and Mr. Seervai fully on the various point On the facts and circumstances on record the present government do not consider that th On this statement being made by the learned Attorney-General, Mr. "
1456,final judgment,5,5,5,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,2) The appellant has filed this appeal against the final judgment and order dated 28.03.2011 passed by the High Court of Karnataka at Bangalore in a writ of Habeas Corpus being Writ Petition No. 220 of 2010 whereby the High Court dismissed 
1457,wealth tax rules,1,5,5,spacy,1,informative,STATUTE-PROVISION,,RULE,,Wealth Tax Rules 1957-Rule 2 A & Rule 2B Wealth Tax-Assessment of-Interest of Karta of H.U.F. in a partnership firm-Whether to be included in the net wealth of H.U.F. Wealth Tax Officer-Reference to Valuation Officers-When justified.
1458,total or partial partition,1,5,5,spacy,1,informative,LEGAL-CONCEPT,PARTITION,ISSUE,,"There are some incidental changes as well, e.g. Section 171 applies also for purposes of levying and collecting penalty, fine or interest and in addition requires the Income-tax Officer to record a finding as to the date on which total or p"
1459,arbitration and conciliation act,4,5,5,spacy,1,informative,STATUTE-PROVISION,,RULE,,"C.K. Thakker JUDGMENT: JUDGMENTC.K. THAKKER, J. This Arbitration Petition is filed by the petitioner, Shin Satellite Public Co. Ltd. against the respondent, M/s Jain Studios Ltd. under sub-section (6) of Section 11 of the Arbitration and Co"
